start time: Tue Sep  6 02:41:59 2022
===== model config =====
id: 3319
input_img_resize: 96
epochs: 151
lr: 0.001
batch_size: 4
num_blocks: [3, 4, 23, 3]
cardinality: 64
bottleneck_width: 4
========================
eopch, train loss, train acc, test loss, test acc
0, 2.7179, 0.218, 4.7713, 0.4037
1, 1.8212, 0.3732, 1.679, 0.4641
2, 1.4961, 0.48, 1.297, 0.5879
3, 1.2534, 0.5786, 1.104, 0.6442
4, 1.0954, 0.6362, 0.8287, 0.7187
5, 0.9236, 0.6898, 0.8079, 0.7201
6, 0.7805, 0.7398, 0.7099, 0.7496
7, 0.7113, 0.7601, 0.553, 0.8143
8, 0.663, 0.7748, 0.4576, 0.8481
9, 0.5964, 0.8036, 0.4843, 0.834
10, 0.5361, 0.8157, 0.5958, 0.82
11, 0.4922, 0.8252, 0.4316, 0.8397
12, 0.4339, 0.8473, 0.381, 0.8762
13, 0.416, 0.853, 0.3475, 0.8805
14, 0.4051, 0.853, 0.2918, 0.9044
15, 0.3619, 0.8699, 0.7607, 0.7862
16, 0.346, 0.8788, 0.2807, 0.8987
17, 0.3294, 0.8863, 0.3178, 0.8973
18, 0.3168, 0.8885, 0.6257, 0.865
19, 0.3162, 0.885, 0.3493, 0.8889
20, 0.2829, 0.891, 0.2926, 0.9086
21, 0.3009, 0.8935, 0.2735, 0.9128
22, 0.2747, 0.9019, 0.2989, 0.91
23, 0.2697, 0.9071, 0.3216, 0.903
24, 0.2603, 0.9069, 0.2477, 0.9255
25, 0.2547, 0.9106, 0.5002, 0.8509
26, 0.2289, 0.9178, 0.3512, 0.8959
27, 0.2321, 0.9198, 0.2181, 0.9437
28, 0.2194, 0.919, 0.3804, 0.8959
29, 0.2346, 0.9146, 0.3301, 0.9072
30, 0.2145, 0.9238, 0.2211, 0.9311
31, 0.1909, 0.9305, 0.3399, 0.9114
32, 0.2103, 0.928, 0.2724, 0.9156
33, 0.1997, 0.9312, 0.241, 0.9381
34, 0.1817, 0.9332, 0.191, 0.9437
35, 0.2138, 0.9233, 0.2541, 0.9114
36, 0.188, 0.9312, 0.3844, 0.8805
37, 0.2008, 0.9275, 0.2452, 0.9297
38, 0.1655, 0.9397, 0.2686, 0.9311
39, 0.1837, 0.9312, 0.2191, 0.9409
40, 0.1817, 0.9305, 0.2076, 0.9381
41, 0.1669, 0.9382, 0.2278, 0.9255
42, 0.1636, 0.9407, 0.1969, 0.9339
43, 0.1641, 0.9392, 0.2184, 0.9381
44, 0.1451, 0.9466, 0.2247, 0.9423
45, 0.1654, 0.9411, 0.2532, 0.9297
46, 0.1389, 0.9481, 0.3352, 0.8931
47, 0.141, 0.9444, 0.2529, 0.9367
48, 0.1424, 0.9471, 0.1799, 0.948
49, 0.1408, 0.9518, 0.2318, 0.9437
50, 0.1471, 0.9491, 0.4286, 0.9142
51, 0.1417, 0.9471, 0.2448, 0.9395
52, 0.1322, 0.9459, 0.3582, 0.8987
53, 0.1357, 0.9523, 0.2562, 0.9297
54, 0.1377, 0.9488, 0.2329, 0.9325
55, 0.1319, 0.9541, 0.2252, 0.948
56, 0.1289, 0.956, 0.2496, 0.9508
57, 0.1068, 0.9603, 0.3052, 0.9241
58, 0.123, 0.9533, 0.283, 0.9325
59, 0.1103, 0.9588, 0.2844, 0.9269
60, 0.1152, 0.957, 0.1879, 0.9409
61, 0.124, 0.9583, 0.2559, 0.9311
62, 0.1159, 0.9632, 0.4274, 0.9001
63, 0.1361, 0.9521, 0.2426, 0.9381
64, 0.1071, 0.9642, 0.3308, 0.9325
65, 0.1066, 0.9618, 0.2769, 0.9339
66, 0.1091, 0.9603, 0.197, 0.9466
67, 0.1047, 0.9608, 0.1979, 0.9466
68, 0.114, 0.9585, 0.2461, 0.9423
69, 0.0954, 0.9645, 0.178, 0.9578
70, 0.0964, 0.9635, 0.2288, 0.948
71, 0.105, 0.963, 0.2067, 0.9536
72, 0.1183, 0.9546, 0.2734, 0.9255
73, 0.1052, 0.9642, 0.2043, 0.9522
74, 0.0992, 0.963, 0.2612, 0.9395
75, 0.1065, 0.9615, 0.2757, 0.9451
76, 0.0906, 0.969, 0.1795, 0.9578
77, 0.0956, 0.9635, 0.1828, 0.9564
78, 0.0979, 0.963, 0.2105, 0.9536
79, 0.1123, 0.96, 0.1824, 0.9508
80, 0.0935, 0.9645, 0.2049, 0.948
81, 0.0952, 0.9645, 0.2456, 0.9409
82, 0.09, 0.9692, 0.268, 0.9283
83, 0.0828, 0.9685, 0.1718, 0.962
84, 0.0856, 0.9695, 0.3193, 0.9226
85, 0.0938, 0.966, 0.2955, 0.9325
86, 0.0915, 0.9675, 0.4983, 0.9001
87, 0.0853, 0.968, 0.2612, 0.9297
88, 0.0888, 0.9685, 0.1787, 0.9522
89, 0.0886, 0.9682, 0.2528, 0.9466
90, 0.0763, 0.9719, 0.2374, 0.9536
91, 0.0871, 0.969, 0.3164, 0.9437
92, 0.0862, 0.9685, 0.2538, 0.9367
93, 0.078, 0.9734, 0.2742, 0.9367
94, 0.0801, 0.97, 0.2729, 0.9381
95, 0.0638, 0.9769, 0.4096, 0.9184
96, 0.0776, 0.9714, 0.2047, 0.9494
97, 0.0795, 0.9682, 0.1909, 0.9564
98, 0.0697, 0.9742, 0.2501, 0.9409
99, 0.0703, 0.9737, 0.2335, 0.9409
100, 0.0727, 0.9747, 0.2124, 0.948
101, 0.0713, 0.9727, 0.2121, 0.9564
102, 0.0863, 0.9702, 0.2561, 0.9381
103, 0.0641, 0.9794, 0.2153, 0.9634
104, 0.0515, 0.9816, 0.2376, 0.9522
105, 0.0735, 0.9749, 0.1744, 0.9606
106, 0.0692, 0.9744, 0.3171, 0.9466
107, 0.0699, 0.9772, 0.2933, 0.9367
108, 0.0747, 0.9707, 0.2734, 0.9423
109, 0.0611, 0.9789, 0.2556, 0.9508
110, 0.0726, 0.9757, 0.2412, 0.9494
111, 0.0629, 0.9769, 0.1629, 0.9677
112, 0.0694, 0.9752, 0.2132, 0.9564
113, 0.0512, 0.9804, 0.3484, 0.9226
114, 0.0661, 0.9754, 0.2616, 0.9409
115, 0.0605, 0.9767, 0.1995, 0.9606
116, 0.0654, 0.9804, 0.2562, 0.9522
117, 0.065, 0.9744, 0.299, 0.9466
118, 0.0518, 0.9834, 0.2596, 0.9536
119, 0.0645, 0.9781, 0.2816, 0.9409
120, 0.0721, 0.9784, 0.1925, 0.9691
121, 0.0645, 0.9759, 0.1942, 0.9522
122, 0.0529, 0.9784, 0.1887, 0.9662
123, 0.055, 0.9779, 0.2704, 0.9367
124, 0.0807, 0.9744, 0.2416, 0.9423
125, 0.0491, 0.9824, 0.2167, 0.9522
126, 0.0618, 0.9801, 0.2622, 0.9437
127, 0.0658, 0.9732, 0.2655, 0.9578
128, 0.0598, 0.9764, 0.3104, 0.9283
129, 0.0533, 0.9821, 0.2144, 0.9466
130, 0.0604, 0.9814, 0.2629, 0.948
131, 0.0511, 0.9826, 0.2332, 0.9536
132, 0.0771, 0.9697, 0.3077, 0.9437
133, 0.0582, 0.9789, 0.2205, 0.9592
134, 0.0472, 0.9844, 0.3783, 0.9269
135, 0.0479, 0.9856, 0.2912, 0.9381
136, 0.054, 0.9806, 0.2887, 0.9494
137, 0.0546, 0.9814, 0.2079, 0.9522
138, 0.043, 0.9863, 0.2484, 0.9592
139, 0.0435, 0.9826, 0.2089, 0.9592
140, 0.0467, 0.9839, 0.2705, 0.948
141, 0.0622, 0.9777, 0.2106, 0.955
142, 0.0571, 0.9811, 0.2552, 0.9606
143, 0.0596, 0.9814, 0.1814, 0.9648
144, 0.045, 0.9844, 0.2376, 0.9564
145, 0.0443, 0.9853, 0.2875, 0.948
146, 0.0408, 0.9861, 0.263, 0.955
147, 0.04, 0.9861, 0.2675, 0.9564
148, 0.0347, 0.9866, 0.2647, 0.955
149, 0.044, 0.9853, 0.3062, 0.9466
150, 0.0514, 0.9824, 0.2627, 0.9494
end time: Wed Sep  7 06:33:50 2022
===== model structure =====
==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
├─Conv2d: 1-1                            [-1, 64, 96, 96]          192
├─BatchNorm2d: 1-2                       [-1, 64, 96, 96]          128
├─Sequential: 1-3                        [-1, 512, 96, 96]         --
|    └─0.conv1.weight
|    └─0.bn1.weight
|    └─0.conv2.weight
|    └─0.bn2.weight
|    └─0.conv3.weight
|    └─0.bn3.weight
|    └─0.shortcut.0.weight
|    └─0.shortcut.1.weight
|    └─1.conv1.weight
|    └─1.bn1.weight
|    └─1.conv2.weight
|    └─1.bn2.weight
|    └─1.conv3.weight
|    └─1.bn3.weight
|    └─2.conv1.weight
|    └─2.bn1.weight
|    └─2.conv2.weight
|    └─2.bn2.weight
|    └─2.conv3.weight
|    └─2.bn3.weight
|    └─Block: 2-1                        [-1, 512, 96, 96]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─shortcut.0.weight
|    |    └─shortcut.1.weight
|    |    └─Conv2d: 3-1                  [-1, 256, 96, 96]         16,384
