start time: Mon Sep  5 08:04:02 2022
===== model config =====
id: 36242
input_img_resize: 64
epochs: 151
lr: 0.005
batch_size: 4
========================
eopch, train loss, train acc, test loss, test acc
0, 2.8361, 0.1887, 2.0433, 0.3006
1, 1.9769, 0.3053, 1.533, 0.4747
2, 1.748, 0.3673, 1.5227, 0.4662
3, 1.5944, 0.4264, 1.3064, 0.5854
4, 1.3777, 0.5087, 1.0404, 0.6709
5, 1.1755, 0.5884, 1.0731, 0.6308
6, 1.0176, 0.6414, 0.8651, 0.7373
7, 0.855, 0.695, 1.0367, 0.6498
8, 0.7407, 0.7425, 0.5747, 0.8259
9, 0.6315, 0.7818, 0.4789, 0.8618
10, 0.5701, 0.8066, 0.5152, 0.8302
11, 0.4946, 0.8198, 0.5341, 0.8323
12, 0.4545, 0.842, 0.422, 0.8797
13, 0.4238, 0.847, 0.3839, 0.8861
14, 0.3968, 0.8546, 0.4593, 0.8734
15, 0.3606, 0.8689, 0.5772, 0.8418
16, 0.3687, 0.8644, 0.4084, 0.8892
17, 0.3365, 0.8813, 0.3418, 0.8861
18, 0.3146, 0.8781, 0.4281, 0.8492
19, 0.2889, 0.8905, 0.3333, 0.9051
20, 0.2668, 0.8992, 0.2705, 0.8987
21, 0.2698, 0.9008, 0.3237, 0.8977
22, 0.2486, 0.9077, 0.5036, 0.847
23, 0.2405, 0.9042, 0.3468, 0.904
24, 0.2341, 0.9113, 0.3149, 0.9146
25, 0.2351, 0.9092, 0.3818, 0.9051
26, 0.2295, 0.914, 0.2949, 0.9167
27, 0.202, 0.9325, 0.3171, 0.9082
28, 0.1891, 0.9314, 0.2995, 0.9114
29, 0.1868, 0.9303, 0.2292, 0.9251
30, 0.1787, 0.9319, 0.2785, 0.9219
31, 0.1803, 0.9346, 0.2041, 0.9378
32, 0.1713, 0.9391, 0.2396, 0.9241
33, 0.1699, 0.934, 0.206, 0.9378
34, 0.1638, 0.9391, 0.3279, 0.8966
35, 0.1478, 0.9459, 0.2595, 0.9325
36, 0.1666, 0.9383, 0.2033, 0.9378
37, 0.1613, 0.9396, 0.1968, 0.9388
38, 0.1681, 0.9356, 0.31, 0.9114
39, 0.1438, 0.9449, 0.3145, 0.9103
40, 0.133, 0.9562, 0.3283, 0.904
41, 0.1346, 0.948, 0.2273, 0.9378
42, 0.1198, 0.9493, 0.3159, 0.9251
43, 0.145, 0.9427, 0.1782, 0.9525
44, 0.125, 0.9515, 0.2031, 0.942
45, 0.128, 0.9546, 0.2076, 0.9335
46, 0.1234, 0.9546, 0.3251, 0.9051
47, 0.1264, 0.9565, 0.2291, 0.9388
48, 0.1102, 0.9546, 0.2381, 0.9473
49, 0.1296, 0.952, 0.2697, 0.9156
50, 0.1194, 0.9573, 0.2444, 0.9346
51, 0.0998, 0.9609, 0.2911, 0.9114
52, 0.1183, 0.9607, 0.2615, 0.9241
53, 0.1209, 0.9504, 0.2226, 0.9409
54, 0.1106, 0.9583, 0.2773, 0.9388
55, 0.1131, 0.9609, 0.2812, 0.9219
56, 0.1041, 0.9636, 0.3164, 0.9114
57, 0.0999, 0.9662, 0.29, 0.9283
58, 0.0942, 0.9641, 0.1902, 0.9546
59, 0.1053, 0.9602, 0.3185, 0.9262
