start time: Tue Sep 13 12:32:39 2022
===== model config =====
id: 43559
input_img_resize: 64
epochs: 151
lr: 0.001
batch_size: 4
num_blocks: [3, 4, 23, 3]
cardinality: 64
bottleneck_width: 4
========================
eopch, train loss, train acc, test loss, test acc
0, 2.7264, 0.2255, 2.0598, 0.2335
1, 2.1582, 0.2818, 4.1158, 0.3066
2, 2.0376, 0.3144, 2.2367, 0.3474
3, 1.9455, 0.3506, 1.9332, 0.4613
4, 1.8775, 0.3752, 2.7021, 0.3699
5, 1.8398, 0.3909, 2.5295, 0.4416
6, 1.7653, 0.4184, 3.3976, 0.4051
7, 1.7212, 0.4363, 1.6907, 0.4993
8, 1.6988, 0.4477, 1.7842, 0.3882
9, 1.6288, 0.4601, 3.4192, 0.4782
10, 1.5963, 0.4736, 1.7406, 0.4698
11, 1.5349, 0.5081, 1.9279, 0.5471
12, 1.447, 0.5309, 10.5398, 0.3896
13, 1.4261, 0.5404, 1.1885, 0.6329
14, 1.3853, 0.551, 1.3952, 0.564
15, 1.3284, 0.5687, 1.4027, 0.5527
16, 1.3021, 0.5751, 1.8236, 0.5541
17, 1.3275, 0.5699, 1.3145, 0.5865
18, 1.2102, 0.6032, 1.678, 0.6203
19, 1.1325, 0.6288, 4.8007, 0.5907
20, 1.1259, 0.6342, 1.3977, 0.6315
21, 1.0593, 0.6464, 0.9574, 0.6976
22, 1.0437, 0.6546, 0.8873, 0.7145
23, 1.0079, 0.6794, 1.149, 0.6807
24, 0.9579, 0.6879, 3.0277, 0.6624
25, 0.9287, 0.6978, 0.8754, 0.6976
26, 0.8995, 0.71, 0.8577, 0.7707
27, 0.8672, 0.7114, 0.7993, 0.7693
28, 0.8353, 0.7196, 1.2337, 0.7229
29, 0.8194, 0.7308, 3.0248, 0.7257
30, 0.7815, 0.7437, 0.9599, 0.7918
31, 0.793, 0.7368, 1.9956, 0.7581
32, 0.7913, 0.74, 0.991, 0.7862
33, 0.798, 0.737, 2.8875, 0.744
34, 0.7502, 0.7504, 2.3251, 0.6357
35, 0.7534, 0.7504, 0.541, 0.8298
36, 0.733, 0.7624, 0.7765, 0.7975
37, 0.7077, 0.7646, 0.8174, 0.8228
