start time: Sun Sep  4 13:28:47 2022
===== model config =====
id: 69327
input_img_resize: 64
epochs: 151
lr: 0.0005
batch_size: 32
========================
eopch, train loss, train acc, test loss, test acc
0, 2.206, 0.2177, 2.0825, 0.3165
1, 1.8533, 0.3533, 1.7294, 0.4082
2, 1.538, 0.4536, 1.4059, 0.5
3, 1.401, 0.4953, 1.3733, 0.5464
4, 1.3168, 0.5245, 1.1662, 0.5918
5, 1.2138, 0.5665, 1.1789, 0.577
6, 1.1147, 0.6074, 1.0672, 0.5918
7, 1.0297, 0.638, 0.9685, 0.6698
8, 0.9013, 0.6823, 0.89, 0.6962
9, 0.8118, 0.7198, 0.6462, 0.7753
10, 0.7473, 0.7409, 0.6681, 0.77
11, 0.6583, 0.7739, 0.5138, 0.8133
12, 0.5805, 0.8055, 0.5044, 0.8165
13, 0.5532, 0.8074, 0.634, 0.7743
14, 0.4759, 0.8348, 0.5003, 0.8333
15, 0.4933, 0.8317, 0.3654, 0.8576
16, 0.4415, 0.8525, 0.4566, 0.8365
17, 0.4335, 0.8599, 0.4392, 0.8555
18, 0.4115, 0.8628, 0.4512, 0.8449
19, 0.3757, 0.8739, 0.3775, 0.8724
20, 0.3639, 0.8741, 0.324, 0.8745
21, 0.3074, 0.8934, 0.3206, 0.8797
22, 0.3223, 0.8913, 0.5378, 0.827
23, 0.3108, 0.8918, 0.2777, 0.9103
24, 0.302, 0.8966, 0.2838, 0.8987
25, 0.2904, 0.9005, 0.4074, 0.8766
26, 0.2874, 0.9018, 0.2841, 0.9019
27, 0.259, 0.9113, 0.2634, 0.9051
28, 0.268, 0.905, 0.2393, 0.9167
29, 0.2504, 0.9103, 0.2875, 0.8987
30, 0.243, 0.9166, 0.2489, 0.9167
31, 0.2184, 0.9227, 0.3103, 0.8914
32, 0.2138, 0.9216, 0.2617, 0.9093
33, 0.2162, 0.923, 0.2635, 0.9093
34, 0.2338, 0.9187, 0.221, 0.923
35, 0.2026, 0.9293, 0.2234, 0.9167
36, 0.188, 0.9375, 0.2134, 0.9219
37, 0.1913, 0.934, 0.2302, 0.9198
38, 0.1876, 0.9319, 0.2203, 0.9177
39, 0.1785, 0.9322, 0.2153, 0.923
40, 0.1649, 0.9385, 0.1764, 0.9335
41, 0.172, 0.943, 0.332, 0.8861
42, 0.1652, 0.9414, 0.2748, 0.9019
43, 0.1556, 0.9443, 0.1827, 0.9378
44, 0.157, 0.9427, 0.2226, 0.9262
45, 0.1364, 0.952, 0.2214, 0.9304
46, 0.1364, 0.9517, 0.2178, 0.9241
47, 0.1303, 0.9573, 0.1475, 0.9483
48, 0.1288, 0.9562, 0.2436, 0.9283
49, 0.1409, 0.9483, 0.3338, 0.8861
50, 0.1369, 0.9525, 0.1936, 0.9325
51, 0.1366, 0.9533, 0.1965, 0.9304
52, 0.128, 0.9573, 0.2076, 0.9283
53, 0.1191, 0.9604, 0.2142, 0.9335
54, 0.1175, 0.9575, 0.2086, 0.9262
55, 0.1011, 0.9644, 0.1753, 0.9409
56, 0.1035, 0.9612, 0.1729, 0.9409
57, 0.1106, 0.9602, 0.1803, 0.942
58, 0.1263, 0.9565, 0.1964, 0.9188
59, 0.1061, 0.9623, 0.1664, 0.943
60, 0.1037, 0.9604, 0.1728, 0.9483
61, 0.0966, 0.9665, 0.1571, 0.9483
62, 0.0982, 0.967, 0.1759, 0.9335
63, 0.1007, 0.9639, 0.1662, 0.9441
64, 0.0956, 0.9615, 0.1794, 0.9399
65, 0.1001, 0.967, 0.1556, 0.9462
66, 0.0746, 0.9739, 0.1446, 0.9515
67, 0.0861, 0.9715, 0.1664, 0.9441
68, 0.0888, 0.9686, 0.1643, 0.942
69, 0.0682, 0.9744, 0.1625, 0.9483
70, 0.0849, 0.9691, 0.2338, 0.9262
71, 0.0851, 0.9731, 0.212, 0.9314
72, 0.0818, 0.9728, 0.1746, 0.9536
73, 0.0807, 0.9734, 0.1596, 0.942
74, 0.0687, 0.9776, 0.1752, 0.9462
75, 0.0722, 0.9736, 0.1375, 0.9536
76, 0.0969, 0.9657, 0.159, 0.9515
77, 0.0812, 0.9726, 0.1873, 0.9367
78, 0.0733, 0.9739, 0.1523, 0.9409
79, 0.0609, 0.9799, 0.1523, 0.9504
80, 0.0673, 0.977, 0.2297, 0.9388
81, 0.0586, 0.9799, 0.1523, 0.9515
82, 0.0598, 0.9818, 0.2185, 0.9335
83, 0.0657, 0.9797, 0.1967, 0.9325
84, 0.0742, 0.9757, 0.1604, 0.9451
85, 0.0779, 0.9734, 0.1939, 0.9441
86, 0.0559, 0.9813, 0.183, 0.9451
87, 0.0728, 0.9781, 0.1813, 0.9399
88, 0.0782, 0.971, 0.1654, 0.942
89, 0.0492, 0.9855, 0.1723, 0.9536
90, 0.0559, 0.9797, 0.1566, 0.9504
91, 0.0485, 0.9831, 0.1499, 0.9568
92, 0.0578, 0.9786, 0.1751, 0.9473
93, 0.0537, 0.9823, 0.1606, 0.9525
94, 0.0516, 0.9828, 0.2202, 0.942
95, 0.0596, 0.9794, 0.1406, 0.9536
96, 0.0464, 0.9858, 0.1753, 0.9494
97, 0.0514, 0.9826, 0.1698, 0.9504
98, 0.054, 0.9828, 0.1356, 0.9578
99, 0.046, 0.9834, 0.2027, 0.9494
100, 0.0464, 0.9842, 0.143, 0.9599
101, 0.0422, 0.9865, 0.1654, 0.9525
102, 0.0471, 0.9836, 0.1377, 0.9578
103, 0.0453, 0.9831, 0.1572, 0.9515
104, 0.0369, 0.9884, 0.138, 0.962
105, 0.0419, 0.9847, 0.1712, 0.9494
106, 0.0352, 0.9884, 0.1608, 0.9631
107, 0.0416, 0.985, 0.1409, 0.9536
108, 0.0521, 0.9844, 0.144, 0.9578
109, 0.0659, 0.976, 0.1649, 0.9536
110, 0.0391, 0.9871, 0.156, 0.9589
111, 0.03, 0.9884, 0.1629, 0.9546
112, 0.0402, 0.9897, 0.1833, 0.9494
113, 0.0469, 0.9818, 0.184, 0.9462
114, 0.0506, 0.9834, 0.1629, 0.9536
115, 0.0367, 0.9881, 0.1595, 0.9546
116, 0.0317, 0.9908, 0.1774, 0.9525
117, 0.0278, 0.9905, 0.1444, 0.9589
118, 0.0344, 0.9871, 0.1924, 0.9462
119, 0.0272, 0.9894, 0.2075, 0.9494
120, 0.0337, 0.9894, 0.2211, 0.9504
121, 0.0259, 0.9926, 0.2006, 0.9451
122, 0.0304, 0.99, 0.1552, 0.9546
123, 0.0371, 0.9873, 0.2087, 0.9451
124, 0.0342, 0.9887, 0.2051, 0.9451
125, 0.0435, 0.9844, 0.1424, 0.9641
126, 0.0364, 0.9894, 0.1682, 0.9515
127, 0.0356, 0.9887, 0.171, 0.9536
128, 0.0369, 0.9871, 0.1699, 0.9536
129, 0.0373, 0.986, 0.1889, 0.9536
130, 0.0413, 0.9879, 0.1382, 0.9599
131, 0.032, 0.9902, 0.1431, 0.9557
132, 0.0219, 0.9931, 0.1553, 0.9494
133, 0.0274, 0.9916, 0.1642, 0.9525
134, 0.0259, 0.9905, 0.1597, 0.9599
135, 0.037, 0.9881, 0.1968, 0.9504
136, 0.0332, 0.9879, 0.1467, 0.9557
137, 0.023, 0.9929, 0.1596, 0.9546
138, 0.0314, 0.9905, 0.1503, 0.9589
139, 0.0358, 0.9887, 0.1804, 0.9578
140, 0.0246, 0.9908, 0.158, 0.9525
141, 0.0213, 0.991, 0.1387, 0.9631
142, 0.0357, 0.9881, 0.1746, 0.9525
143, 0.0265, 0.9916, 0.1609, 0.9557
144, 0.0263, 0.9916, 0.1674, 0.9578
145, 0.0216, 0.9923, 0.1445, 0.9631
146, 0.0237, 0.9923, 0.1928, 0.9473
147, 0.0275, 0.9902, 0.1543, 0.9599
148, 0.0334, 0.99, 0.1663, 0.9568
149, 0.0163, 0.9966, 0.181, 0.9568
150, 0.0189, 0.9945, 0.1781, 0.9578
end time: Sun Sep  4 19:02:05 2022
===== model structure =====
==========================================================================================
Layer (type:depth-idx)                   Output Shape              Param #
==========================================================================================
├─Conv2d: 1-1                            [-1, 64, 64, 64]          192
├─BatchNorm2d: 1-2                       [-1, 64, 64, 64]          128
├─Sequential: 1-3                        [-1, 256, 64, 64]         --
|    └─0.conv1.weight
|    └─0.bn1.weight
|    └─0.conv2.weight
|    └─0.bn2.weight
|    └─0.conv3.weight
|    └─0.bn3.weight
|    └─0.shortcut.0.weight
|    └─0.shortcut.1.weight
|    └─1.conv1.weight
|    └─1.bn1.weight
|    └─1.conv2.weight
|    └─1.bn2.weight
|    └─1.conv3.weight
|    └─1.bn3.weight
|    └─2.conv1.weight
|    └─2.bn1.weight
|    └─2.conv2.weight
|    └─2.bn2.weight
|    └─2.conv3.weight
|    └─2.bn3.weight
|    └─Block: 2-1                        [-1, 256, 64, 64]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─shortcut.0.weight
|    |    └─shortcut.1.weight
|    |    └─Conv2d: 3-1                  [-1, 128, 64, 64]         8,192
|    |    └─BatchNorm2d: 3-2             [-1, 128, 64, 64]         256
|    |    └─Conv2d: 3-3                  [-1, 128, 64, 64]         4,608
|    |    └─BatchNorm2d: 3-4             [-1, 128, 64, 64]         256
|    |    └─Conv2d: 3-5                  [-1, 256, 64, 64]         32,768
|    |    └─BatchNorm2d: 3-6             [-1, 256, 64, 64]         512
|    |    └─Sequential: 3-7              [-1, 256, 64, 64]         16,896
|    |    |    └─0.weight
|    |    |    └─1.weight
|    └─Block: 2-2                        [-1, 256, 64, 64]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─Conv2d: 3-8                  [-1, 128, 64, 64]         32,768
|    |    └─BatchNorm2d: 3-9             [-1, 128, 64, 64]         256
|    |    └─Conv2d: 3-10                 [-1, 128, 64, 64]         4,608
|    |    └─BatchNorm2d: 3-11            [-1, 128, 64, 64]         256
|    |    └─Conv2d: 3-12                 [-1, 256, 64, 64]         32,768
|    |    └─BatchNorm2d: 3-13            [-1, 256, 64, 64]         512
|    |    └─Sequential: 3-14             [-1, 256, 64, 64]         --
|    └─Block: 2-3                        [-1, 256, 64, 64]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─Conv2d: 3-15                 [-1, 128, 64, 64]         32,768
|    |    └─BatchNorm2d: 3-16            [-1, 128, 64, 64]         256
|    |    └─Conv2d: 3-17                 [-1, 128, 64, 64]         4,608
|    |    └─BatchNorm2d: 3-18            [-1, 128, 64, 64]         256
|    |    └─Conv2d: 3-19                 [-1, 256, 64, 64]         32,768
|    |    └─BatchNorm2d: 3-20            [-1, 256, 64, 64]         512
|    |    └─Sequential: 3-21             [-1, 256, 64, 64]         --
├─Sequential: 1-4                        [-1, 512, 32, 32]         --
|    └─0.conv1.weight
|    └─0.bn1.weight
|    └─0.conv2.weight
|    └─0.bn2.weight
|    └─0.conv3.weight
|    └─0.bn3.weight
|    └─0.shortcut.0.weight
|    └─0.shortcut.1.weight
|    └─1.conv1.weight
|    └─1.bn1.weight
|    └─1.conv2.weight
|    └─1.bn2.weight
|    └─1.conv3.weight
|    └─1.bn3.weight
|    └─2.conv1.weight
|    └─2.bn1.weight
|    └─2.conv2.weight
|    └─2.bn2.weight
|    └─2.conv3.weight
|    └─2.bn3.weight
|    └─3.conv1.weight
|    └─3.bn1.weight
|    └─3.conv2.weight
|    └─3.bn2.weight
|    └─3.conv3.weight
|    └─3.bn3.weight
|    └─Block: 2-4                        [-1, 512, 32, 32]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─shortcut.0.weight
|    |    └─shortcut.1.weight
|    |    └─Conv2d: 3-22                 [-1, 256, 64, 64]         65,536
|    |    └─BatchNorm2d: 3-23            [-1, 256, 64, 64]         512
|    |    └─Conv2d: 3-24                 [-1, 256, 32, 32]         18,432
|    |    └─BatchNorm2d: 3-25            [-1, 256, 32, 32]         512
|    |    └─Conv2d: 3-26                 [-1, 512, 32, 32]         131,072
|    |    └─BatchNorm2d: 3-27            [-1, 512, 32, 32]         1,024
|    |    └─Sequential: 3-28             [-1, 512, 32, 32]         132,096
|    |    |    └─0.weight
|    |    |    └─1.weight
|    └─Block: 2-5                        [-1, 512, 32, 32]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─Conv2d: 3-29                 [-1, 256, 32, 32]         131,072
|    |    └─BatchNorm2d: 3-30            [-1, 256, 32, 32]         512
|    |    └─Conv2d: 3-31                 [-1, 256, 32, 32]         18,432
|    |    └─BatchNorm2d: 3-32            [-1, 256, 32, 32]         512
|    |    └─Conv2d: 3-33                 [-1, 512, 32, 32]         131,072
|    |    └─BatchNorm2d: 3-34            [-1, 512, 32, 32]         1,024
|    |    └─Sequential: 3-35             [-1, 512, 32, 32]         --
|    └─Block: 2-6                        [-1, 512, 32, 32]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─Conv2d: 3-36                 [-1, 256, 32, 32]         131,072
|    |    └─BatchNorm2d: 3-37            [-1, 256, 32, 32]         512
|    |    └─Conv2d: 3-38                 [-1, 256, 32, 32]         18,432
|    |    └─BatchNorm2d: 3-39            [-1, 256, 32, 32]         512
|    |    └─Conv2d: 3-40                 [-1, 512, 32, 32]         131,072
|    |    └─BatchNorm2d: 3-41            [-1, 512, 32, 32]         1,024
|    |    └─Sequential: 3-42             [-1, 512, 32, 32]         --
|    └─Block: 2-7                        [-1, 512, 32, 32]         --
|    |    └─conv1.weight
|    |    └─bn1.weight
|    |    └─conv2.weight
|    |    └─bn2.weight
|    |    └─conv3.weight
|    |    └─bn3.weight
|    |    └─Conv2d: 3-43                 [-1, 256, 32, 32]         131,072
|    |    └─BatchNorm2d: 3-44            [-1, 256, 32, 32]         512
