start time: Tue Sep  6 00:11:44 2022
===== model config =====
id: 94304
input_img_resize: 96
epochs: 151
lr: 0.001
batch_size: 8
========================
eopch, train loss, train acc, test loss, test acc
0, 2.9507, 0.1269, 2.3286, 0.1491
1, 2.4176, 0.2014, 1.959, 0.3122
2, 2.2427, 0.2538, 1.8955, 0.3291
3, 2.0716, 0.2816, 1.778, 0.3657
4, 1.8945, 0.3556, 1.6377, 0.474
5, 1.7342, 0.3894, 3.643, 0.4501
6, 1.609, 0.4522, 1.2484, 0.5429
7, 1.478, 0.479, 1.6837, 0.564
8, 1.3212, 0.5299, 4.4592, 0.6287
9, 1.1785, 0.5783, 2.437, 0.6273
10, 1.0386, 0.6315, 0.8845, 0.7018
11, 0.9481, 0.6767, 1.1481, 0.706
12, 0.8269, 0.7003, 0.9741, 0.7876
13, 0.7794, 0.7254, 1.9345, 0.7356
14, 0.7135, 0.748, 1.0676, 0.8045
15, 0.6749, 0.7671, 0.5655, 0.8439
16, 0.5997, 0.7872, 0.9632, 0.7665
17, 0.6079, 0.7854, 0.6337, 0.8298
18, 0.5714, 0.7984, 0.7428, 0.8354
19, 0.5606, 0.8028, 4.6788, 0.8158
20, 0.4901, 0.8264, 0.6181, 0.8284
21, 0.462, 0.8331, 0.7847, 0.8425
22, 0.4484, 0.8406, 1.1513, 0.8495
23, 0.4572, 0.8366, 0.9636, 0.8383
24, 0.4429, 0.8413, 1.0239, 0.8172
25, 0.4307, 0.8438, 0.7989, 0.8115
26, 0.3909, 0.8657, 1.7785, 0.8425
27, 0.4047, 0.8505, 2.9565, 0.8073
28, 0.3671, 0.8676, 0.8674, 0.8186
29, 0.3534, 0.8736, 2.2442, 0.8003
30, 0.3705, 0.8629, 0.7365, 0.8678
31, 0.3634, 0.8676, 3.2313, 0.827
32, 0.3472, 0.8776, 5.824, 0.8172
33, 0.3394, 0.8798, 0.6712, 0.8692
34, 0.3279, 0.882, 0.5141, 0.8945
35, 0.2942, 0.8883, 2.4538, 0.8354
36, 0.3264, 0.8828, 0.9092, 0.8608
37, 0.2924, 0.8915, 0.6508, 0.8762
38, 0.3136, 0.8828, 0.392, 0.8973
39, 0.2704, 0.9044, 0.3775, 0.8945
40, 0.289, 0.893, 3.9083, 0.8397
41, 0.2884, 0.8947, 0.5304, 0.8903
42, 0.2726, 0.8964, 0.6731, 0.8917
43, 0.2762, 0.8994, 1.4179, 0.8411
44, 0.2731, 0.8979, 1.3881, 0.8368
45, 0.2861, 0.8964, 0.4655, 0.8917
46, 0.2664, 0.9032, 0.4991, 0.8945
47, 0.2538, 0.9066, 1.4388, 0.872
48, 0.2498, 0.9091, 0.4702, 0.8889
49, 0.2322, 0.9178, 1.4803, 0.8622
50, 0.2538, 0.9099, 0.8075, 0.8875
51, 0.2282, 0.9138, 0.4372, 0.8973
52, 0.2216, 0.9151, 1.5782, 0.8622
53, 0.2392, 0.9128, 0.4807, 0.8819
54, 0.2271, 0.9185, 1.2158, 0.8762
55, 0.2378, 0.9106, 0.2951, 0.9128
56, 0.2297, 0.9151, 0.5895, 0.8861
57, 0.2231, 0.9151, 0.3258, 0.9128
58, 0.2197, 0.9183, 0.3303, 0.8959
59, 0.2031, 0.9233, 0.2963, 0.9072
60, 0.2131, 0.9183, 0.3704, 0.8973
61, 0.222, 0.9161, 0.2779, 0.9198
62, 0.2017, 0.9253, 0.213, 0.9269
63, 0.1941, 0.928, 0.3634, 0.8987
64, 0.2087, 0.9262, 0.287, 0.9114
65, 0.211, 0.923, 0.2337, 0.9212
66, 0.1918, 0.9332, 0.265, 0.9212
67, 0.2091, 0.9233, 0.242, 0.9226
68, 0.1833, 0.9344, 0.2897, 0.9226
69, 0.1758, 0.9389, 0.2662, 0.9198
70, 0.1855, 0.9322, 0.2998, 0.91
71, 0.187, 0.9285, 0.5279, 0.8875
72, 0.1724, 0.9322, 0.5104, 0.9044
73, 0.1908, 0.9292, 0.4107, 0.8889
74, 0.1916, 0.9342, 0.3757, 0.91
75, 0.1906, 0.933, 1.5839, 0.8875
76, 0.1761, 0.933, 0.6071, 0.8987
77, 0.1715, 0.9389, 0.8216, 0.8805
78, 0.1621, 0.9419, 3.1407, 0.8523
79, 0.1839, 0.932, 0.9197, 0.8945
80, 0.1694, 0.9399, 0.8576, 0.8945
81, 0.1533, 0.9389, 0.6119, 0.8917
82, 0.1698, 0.9369, 1.6458, 0.8847
83, 0.1725, 0.9344, 1.2592, 0.9001
84, 0.151, 0.9411, 0.8647, 0.9044
